qnum,Question,Responses,Male,Female,Democrat,Republican,Independent,White,Black,Non-white,18-39,40-64,65+,White protestant evangelical,North,Atlanta exurbs,Atlanta metro,Southeast,Southwest,Under $50k,$50k - $100k,$100k +,No college degree,College grad
12,,,0.07,0.04,0.03,0.05,0.09,0.05,0.03,0.03,0.09,0.04,0.03,0.06,0.04,0.09,0.02,0.05,0.06,0.04,0.06,0.03,0.05,0.07
13,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or (Donald Trump) to deal with this issue: the economy?",Hillary Clinton,124,180,184,18,75,82,181,215,108,149,46,18,26,57,131,44,45,137,94,43,214,87
13,,,0.36,0.45,0.83,0.07,0.38,0.19,0.79,0.74,0.43,0.42,0.33,0.14,0.26,0.27,0.67,0.34,0.41,0.46,0.41,0.3,0.42,0.37
13,,Donald Trump,198,190,27,217,99,315,41,63,121,183,82,101,68,142,48,71,59,137,117,96,257,130
13,,,0.57,0.48,0.12,0.89,0.5,0.73,0.18,0.22,0.49,0.52,0.58,0.81,0.69,0.67,0.25,0.55,0.53,0.46,0.52,0.66,0.51,0.55
13,,Both equally,6,1,2,-,4,4,1,2,3,3,1,-,-,2,2,2,-,4,-,-,6,*
13,,,0.02,* ,0.01,- ,0.02,0.01,* ,0.01,0.01,0.01,* ,- ,- ,0.01,0.01,0.02,- ,0.01,- ,- ,0.01,* 
13,,Neither,14,18,4,9,15,24,6,7,9,13,11,4,4,5,10,7,6,14,11,5,19,13
13,,,0.04,0.05,0.02,0.04,0.08,0.06,0.03,0.02,0.03,0.04,0.07,0.03,0.04,0.02,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.05
13,,Don't know/no answer,7,8,5,1,5,8,1,3,9,3,3,2,1,6,3,5,1,7,5,2,11,5
13,,,0.02,0.02,0.02,* ,0.03,0.02,* ,0.01,0.04,0.01,0.02,0.02,0.01,0.03,0.01,0.04,0.01,0.02,0.02,0.01,0.02,0.02
14,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or (Donald Trump) to deal with this issue: taxes?",Hillary Clinton,134,181,190,16,75,91,187,218,110,156,48,18,30,65,128,49,43,143,93,46,223,90
14,,,0.38,0.46,0.85,0.07,0.38,0.21,0.81,0.75,0.44,0.45,0.33,0.15,0.3,0.31,0.66,0.38,0.39,0.48,0.41,0.32,0.44,0.38
14,,Donald Trump,189,186,23,214,100,303,34,59,118,175,81,98,65,133,49,67,60,129,119,92,251,123
14,,,0.54,0.47,0.1,0.88,0.5,0.7,0.15,0.2,0.47,0.5,0.57,0.79,0.66,0.63,0.25,0.52,0.54,0.43,0.52,0.63,0.5,0.52
14,,Both equally,3,*,1,-,2,2,-,1,1,2,*,-,*,1,2,1,-,2,*,-,3,*
14,,,0.01,* ,* ,- ,0.01,* ,- ,* ,* ,* ,* ,- ,* ,* ,0.01,0.01,- ,0.01,* ,- ,0.01,* 
14,,Neither,18,23,4,11,21,28,8,10,16,14,9,5,3,10,13,8,6,18,13,5,22,18
14,,,0.05,0.06,0.02,0.05,0.1,0.06,0.04,0.03,0.07,0.04,0.07,0.04,0.03,0.05,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.08
14,,Don't know/no answer,5,7,5,3,1,10,1,2,4,3,4,3,*,3,3,4,1,7,2,2,8,4
14,,,0.01,0.02,0.02,0.01,0.01,0.02,* ,0.01,0.02,0.01,0.03,0.03,* ,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0.02,0.02
15,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or  (Donald Trump) to deal with this issue: health care?",Hillary Clinton,150,197,199,22,91,106,197,232,136,159,50,20,25,77,137,61,47,154,106,50,240,104
15,,,0.43,0.5,0.9,0.09,0.46,0.25,0.85,0.8,0.54,0.45,0.35,0.16,0.25,0.36,0.7,0.47,0.42,0.52,0.47,0.34,0.47,0.44
15,,Donald Trump,168,163,10,206,85,280,20,38,85,168,76,95,62,122,39,54,53,109,103,85,224,106
15,,,0.48,0.41,0.04,0.84,0.43,0.65,0.09,0.13,0.34,0.48,0.53,0.76,0.62,0.58,0.2,0.42,0.48,0.37,0.45,0.58,0.44,0.45
15,,Both equally,1,3,-,1,1,3,-,1,1,1,1,-,-,1,-,3,-,2,1,-,3,1
15,,,* ,0.01,- ,* ,0.01,0.01,- ,* ,* ,* ,0.01,- ,- ,0.01,- ,0.02,- ,0.01,* ,- ,0.01,* 
15,,Neither,23,29,9,14,18,35,13,15,19,21,11,7,10,8,15,8,10,26,15,9,35,17
15,,,0.07,0.07,0.04,0.06,0.09,0.08,0.06,0.05,0.08,0.06,0.08,0.06,0.1,0.04,0.08,0.06,0.09,0.09,0.07,0.06,0.07,0.07
15,,Don't know/no answer,6,6,5,1,3,9,1,3,9,1,3,3,2,3,3,4,1,7,3,2,5,7
15,,,0.02,0.02,0.02,* ,0.01,0.02,* ,0.01,0.03,* ,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.03
16,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or (Donald Trump) to deal with this issue: foreign affairs?",Hillary Clinton,156,205,187,41,96,127,190,229,136,167,56,27,34,87,143,51,46,157,119,55,233,125
16,,,0.45,0.52,0.84,0.17,0.48,0.29,0.83,0.79,0.54,0.48,0.4,0.21,0.35,0.41,0.73,0.39,0.41,0.52,0.52,0.38,0.46,0.53
16,,Donald Trump,160,156,27,183,70,258,28,48,84,158,74,85,57,107,35,65,53,115,85,79,229,86
16,,,0.46,0.39,0.12,0.75,0.35,0.6,0.12,0.17,0.33,0.45,0.52,0.68,0.57,0.5,0.18,0.5,0.47,0.38,0.37,0.54,0.45,0.37
16,,Both equally,5,1,1,2,2,4,1,2,3,2,1,2,-,3,-,2,1,3,1,1,4,2
16,,,0.01,* ,* ,0.01,0.01,0.01,* ,0.01,0.01,0.01,0.01,0.01,- ,0.02,- ,0.02,0.01,0.01,* ,0.01,0.01,0.01
16,,Neither,20,29,2,17,24,36,9,9,16,21,10,10,7,9,14,8,11,17,18,9,30,17
16,,,0.06,0.07,0.01,0.07,0.12,0.08,0.04,0.03,0.06,0.06,0.07,0.08,0.07,0.04,0.07,0.06,0.09,0.06,0.08,0.06,0.06,0.07
16,,Don't know/no answer,8,6,5,2,7,8,2,2,12,2,1,2,1,6,3,3,1,7,5,1,10,5
16,,,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.03,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.02
17,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or (Donald Trump) to deal with this issue: terrorism?",Hillary Clinton,126,175,171,19,81,92,180,204,102,147,50,13,22,59,133,46,40,135,93,46,199,99
17,,,0.36,0.44,0.77,0.08,0.41,0.21,0.78,0.7,0.41,0.42,0.35,0.11,0.22,0.28,0.69,0.36,0.36,0.45,0.41,0.31,0.39,0.42
17,,Donald Trump,199,193,39,211,102,310,41,71,128,183,80,104,67,136,51,74,63,139,118,92,275,116
17,,,0.57,0.49,0.17,0.86,0.52,0.71,0.18,0.24,0.51,0.52,0.56,0.83,0.68,0.64,0.26,0.57,0.57,0.47,0.52,0.63,0.54,0.49
17,,Both equally,1,1,1,-,*,*,-,1,1,1,-,-,1,-,*,1,-,*,-,-,2,*
17,,,* ,* ,* ,- ,* ,* ,- ,* ,* ,* ,- ,- ,0.01,- ,* ,0.01,- ,* ,- ,- ,* ,* 
17,,Neither,16,18,6,12,11,22,8,10,10,13,11,6,6,9,6,5,8,17,12,3,22,11
17,,,0.05,0.05,0.03,0.05,0.06,0.05,0.04,0.03,0.04,0.04,0.07,0.05,0.06,0.04,0.03,0.04,0.07,0.06,0.05,0.02,0.04,0.05
17,,Don't know/no answer,7,10,5,3,4,10,1,4,9,6,2,2,3,8,3,3,-,8,4,5,9,8
17,,,0.02,0.02,0.02,0.01,0.02,0.02,* ,0.01,0.04,0.02,0.01,0.02,0.03,0.04,0.02,0.03,- ,0.03,0.02,0.03,0.02,0.03
18,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or (Donald Trump) to deal with this issue: fighting for the middle class?",Hillary Clinton,162,207,204,27,100,117,202,244,142,172,53,18,35,75,144,64,52,176,103,56,256,109
18,,,0.46,0.52,0.92,0.11,0.5,0.27,0.88,0.84,0.57,0.49,0.37,0.15,0.35,0.35,0.74,0.49,0.47,0.59,0.45,0.39,0.51,0.47
18,,Donald Trump,153,150,6,192,72,265,17,28,72,153,77,93,55,117,29,53,49,94,98,76,205,97
18,,,0.44,0.38,0.03,0.78,0.36,0.61,0.07,0.1,0.29,0.44,0.54,0.74,0.55,0.55,0.15,0.41,0.44,0.32,0.43,0.52,0.4,0.41
18,,Both equally,4,1,-,3,1,3,1,2,3,1,1,*,2,1,1,1,-,2,1,*,4,1
18,,,0.01,* ,- ,0.01,* ,0.01,0.01,0.01,0.01,* ,* ,* ,0.02,* ,0.01,0.01,- ,0.01,* ,* ,0.01,* 
18,,Neither,23,34,7,21,21,42,9,13,23,22,11,13,7,14,17,8,10,22,20,13,33,23
18,,,0.06,0.09,0.03,0.08,0.11,0.1,0.04,0.04,0.09,0.06,0.08,0.1,0.07,0.07,0.09,0.06,0.09,0.07,0.09,0.09,0.07,0.1
18,,Don't know/no answer,8,4,4,1,4,6,1,3,9,2,1,1,*,5,4,4,-,5,7,1,8,4
18,,,0.02,0.01,0.02,0.01,0.02,0.01,* ,0.01,0.04,0.01,0.01,0.01,* ,0.02,0.02,0.03,- ,0.02,0.03,* ,0.02,0.02
19,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or (Donald Trump) to deal with this issue: caring about people like you?",Hillary Clinton,148,194,199,24,88,105,195,232,131,160,50,19,25,75,139,57,46,160,100,51,244,95
19,,,0.43,0.49,0.89,0.1,0.44,0.24,0.85,0.8,0.52,0.46,0.35,0.15,0.26,0.36,0.71,0.44,0.41,0.54,0.44,0.35,0.48,0.41
19,,Donald Trump,152,143,8,195,63,255,17,31,69,153,72,90,51,111,35,50,49,94,88,79,195,99
19,,,0.44,0.36,0.04,0.8,0.32,0.59,0.07,0.11,0.28,0.44,0.51,0.72,0.52,0.52,0.18,0.38,0.44,0.31,0.39,0.54,0.39,0.42
19,,Both equally,3,3,1,-,3,4,-,1,4,1,-,-,2,1,-,3,-,3,1,-,4,1
19,,,0.01,0.01,0.01,- ,0.02,0.01,- ,* ,0.02,* ,- ,- ,0.02,0.01,- ,0.02,- ,0.01,0.01,- ,0.01,* 
19,,Neither,36,50,9,24,37,60,17,22,37,32,17,16,18,19,19,13,17,34,33,14,52,33
19,,,0.1,0.12,0.04,0.1,0.19,0.14,0.07,0.08,0.15,0.09,0.12,0.13,0.18,0.09,0.1,0.1,0.15,0.12,0.15,0.1,0.1,0.14
19,,Don't know/no answer,10,7,5,2,8,9,1,3,10,4,3,*,3,5,2,7,-,7,5,1,11,6
19,,,0.03,0.02,0.02,0.01,0.04,0.02,0.01,0.01,0.04,0.01,0.02,* ,0.03,0.03,0.01,0.05,- ,0.02,0.02,0.01,0.02,0.03
