qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other,18-29,30-44,45-64,65+
6,,,0.025,0.031,0.021,0.040,0.032,0.030,0.012,0.031,0.020,0.033,0.013,0.016,0.027,0.03,0.024,0.023,0.052,0.023,0.028,0.023,0.017
7,"If the election for lieutenant governor were being held today, and the candidates were Geoff Duncan, the Republican, and Sarah Riggs Amico, the Democrat, for whom would you vote? ",Geoff Duncan,559,271,288,76,123,39,213,103,22,67,100,98,105,77,515,14,29,25,77,228,203
7,,,0.454,0.494,0.422,0.51,0.567,0.591,0.436,0.350,0.449,0.444,0.442,0.505,0.475,0.391,0.659,0.040,0.302,0.291,0.309,0.473,0.58
7,,Sarah Riggs Amico,484,188,296,51,66,20,197,141,21,64,96,74,77,82,162,275,47,38,123,184,111
7,,,0.393,0.342,0.433,0.342,0.304,0.303,0.404,0.480,0.429,0.424,0.425,0.381,0.348,0.416,0.207,0.779,0.490,0.442,0.494,0.382,0.317
7,,Undecided,189,90,99,22,28,7,78,50,6,20,30,22,39,38,105,64,20,23,49,70,36
7,,,0.153,0.164,0.145,0.148,0.129,0.106,0.160,0.170,0.122,0.132,0.133,0.113,0.176,0.193,0.134,0.181,0.208,0.267,0.197,0.145,0.103
8,"If the election for secretary of state were being held today, and the candidates were Brad Raffensperger, the Republican, John Barrow, the Democrat, or Smythe Duval, the Libertarian, for whom would you vote? ",Brad Raffensperger,511,252,259,66,110,33,195,99,17,58,94,92,96,65,475,8,28,15,68,215,190
8,,,0.414,0.458,0.380,0.443,0.509,0.500,0.4,0.336,0.347,0.384,0.416,0.477,0.432,0.332,0.607,0.023,0.292,0.176,0.273,0.447,0.544
8,,John Barrow,454,181,272,47,59,24,183,135,15,56,98,72,65,81,156,260,38,35,100,178,114
8,,,0.368,0.329,0.399,0.315,0.273,0.364,0.375,0.458,0.306,0.371,0.434,0.373,0.293,0.413,0.199,0.732,0.396,0.412,0.402,0.37,0.327
8,,Smythe Duval,78,48,30,4,18,2,33,21,7,15,6,11,19,17,47,19,12,13,27,28,9
8,,,0.063,0.087,0.044,0.027,0.083,0.030,0.068,0.071,0.143,0.099,0.027,0.057,0.086,0.087,0.06,0.054,0.125,0.153,0.108,0.058,0.026
8,,Undecided,190,69,121,32,29,7,77,40,10,22,28,18,42,33,104,68,18,22,54,60,36
8,,,0.154,0.125,0.177,0.215,0.134,0.106,0.158,0.136,0.204,0.146,0.124,0.093,0.189,0.168,0.133,0.192,0.188,0.259,0.217,0.125,0.103
9,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Approve,574,296,278,81,129,38,218,100,23,68,103,102,107,72,529,15,30,26,88,232,203
9,,,0.466,0.539,0.407,0.544,0.597,0.567,0.446,0.340,0.469,0.450,0.456,0.526,0.484,0.367,0.676,0.042,0.313,0.302,0.352,0.480,0.582
9,,Disapprove,619,238,381,62,84,25,250,190,25,80,117,90,109,111,230,328,61,60,153,236,137
9,,,0.503,0.434,0.558,0.416,0.389,0.373,0.511,0.646,0.510,0.530,0.518,0.464,0.493,0.566,0.294,0.929,0.635,0.698,0.612,0.489,0.393
9,,Don't know,39,15,24,6,3,4,21,4,1,3,6,2,5,13,24,10,5,0,9,15,9
9,,,0.031,0.027,0.035,0.040,0.014,0.060,0.043,0.014,0.020,0.020,0.027,0.010,0.023,0.066,0.031,0.028,0.052,0,0.036,0.031,0.026
