qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
8,,,0.185667798,0.182291667,0.18697479,0.114583333,0.160583942,0.280405405,0.084745763,0.170731707,0.164473684,0.191176471,0.214285714,0.208955224,0.146252285,0.262948207,0.222222222,0.279069767,0.228855721,0.14893617,0.14953271,0.36328125,0.282208589,0.041975309,0.011933174,0.397101449,0.2
8,,Somewhat disapprove,58.75117133,28,31,5,28,26,1,5,19,10,10,7,35,21,3,18,13,15,9,30,16,12,14,31,12
8,,,0.068235971,0.072916667,0.06512605,0.017361111,0.102189781,0.087837838,0.016949153,0.040650407,0.125,0.073529412,0.064935065,0.052238806,0.063985375,0.083665339,0.047619048,0.139534884,0.064676617,0.053191489,0.042056075,0.1171875,0.098159509,0.02962963,0.033412888,0.089855072,0.218181818
8,,Strongly disapprove,439.439463,219,220,185,144,108,38,57,78,75,70,65,378,35,26,47,99,154,125,35,42,338,381,21,20
8,,,0.510382652,0.5703125,0.462184874,0.642361111,0.525547445,0.364864865,0.644067797,0.463414634,0.513157895,0.551470588,0.454545455,0.485074627,0.691042048,0.139442231,0.412698413,0.364341085,0.492537313,0.546099291,0.58411215,0.13671875,0.257668712,0.834567901,0.909307876,0.060869565,0.363636364
8,,Don't know,44.94222277,19,26,7,25,13,2,9,4,9,5,8,12,26,7,3,17,14,6,11,17,11,5,17,8
8,,,0.052197704,0.049479167,0.054621849,0.024305556,0.091240876,0.043918919,0.033898305,0.073170732,0.026315789,0.066176471,0.032467532,0.059701493,0.021937843,0.103585657,0.111111111,0.023255814,0.084577114,0.04964539,0.028037383,0.04296875,0.104294479,0.027160494,0.011933174,0.049275362,0.145454545
9,Do you approve or disapprove of the way Brian Kemp is handling his job as governor? ,Strongly approve,244.273962,111,133,120,69,54,33,20,37,47,34,40,207,27,11,18,36,107,76,17,21,194,233,3,5
9,,,0.283709596,0.289817232,0.278242678,0.415224913,0.252747253,0.182432432,0.55,0.163934426,0.241830065,0.343065693,0.219354839,0.298507463,0.378427788,0.107569721,0.174603175,0.140625,0.178217822,0.378091873,0.355140187,0.06640625,0.12804878,0.479012346,0.554761905,0.008695652,0.089285714
9,,Somewhat approve,241.3824335,116,125,96,70,75,15,51,42,28,56,27,174,49,18,49,65,63,55,36,47,144,148,58,20
9,,,0.280351258,0.302872063,0.261506276,0.332179931,0.256410256,0.253378378,0.25,0.418032787,0.274509804,0.204379562,0.361290323,0.201492537,0.31809872,0.195219124,0.285714286,0.3828125,0.321782178,0.222614841,0.257009346,0.140625,0.286585366,0.355555556,0.352380952,0.168115942,0.357142857
9,,Somewhat disapprove,97.75649549,51,47,22,26,50,3,8,15,22,24,20,49,33,15,22,26,33,14,50,30,18,13,70,10
9,,,0.113538322,0.133159269,0.09832636,0.076124567,0.095238095,0.168918919,0.05,0.06557377,0.098039216,0.160583942,0.15483871,0.149253731,0.089579525,0.131474104,0.238095238,0.171875,0.128712871,0.116607774,0.065420561,0.1953125,0.182926829,0.044444444,0.030952381,0.202898551,0.178571429
9,,Strongly disapprove,240.6283309,95,146,44,93,103,6,42,54,30,38,43,94,131,16,28,72,73,56,148,49,38,12,204,15
9,,,0.279475413,0.248041775,0.305439331,0.152249135,0.340659341,0.347972973,0.1,0.344262295,0.352941176,0.218978102,0.24516129,0.320895522,0.171846435,0.521912351,0.253968254,0.21875,0.356435644,0.25795053,0.261682243,0.578125,0.298780488,0.09382716,0.028571429,0.591304348,0.267857143
9,,Don't know,36.95877811,10,27,7,15,14,3,1,5,10,3,4,23,11,3,11,3,7,13,5,17,11,14,10,6
9,,,0.04292541,0.026109661,0.056485356,0.024221453,0.054945055,0.047297297,0.05,0.008196721,0.032679739,0.072992701,0.019354839,0.029850746,0.042047532,0.043824701,0.047619048,0.0859375,0.014851485,0.024734982,0.060747664,0.01953125,0.103658537,0.027160494,0.033333333,0.028985507,0.107142857
10,Do you approve or disapprove of the way Raphael Warnock is handling his job as U.S. Senator? ,Strongly approve,240.9508433,96,145,62,65,113,13,40,32,32,57,45,75,147,20,32,64,80,56,122,70,46,20,203,12
10,,,0.279849992,0.250652742,0.303983229,0.213793103,0.238095238,0.381756757,0.216666667,0.327868852,0.209150327,0.235294118,0.367741935,0.335820896,0.137362637,0.585657371,0.3125,0.251968504,0.316831683,0.283687943,0.261682243,0.478431373,0.426829268,0.113580247,0.047619048,0.588405797,0.214285714
10,,Somewhat approve,165.8978344,79,87,54,53,60,8,29,34,36,23,22,94,55,16,41,40,40,34,84,44,31,23,114,18
10,,,0.192680412,0.206266319,0.182389937,0.186206897,0.194139194,0.202702703,0.133333333,0.237704918,0.222222222,0.264705882,0.148387097,0.164179104,0.172161172,0.219123506,0.25,0.322834646,0.198019802,0.141843972,0.158878505,0.329411765,0.268292683,0.07654321,0.054761905,0.330434783,0.321428571
10,,Somewhat disapprove,89.28239863,34,55,36,26,27,0,11,26,11,23,12,66,20,3,18,30,28,13,21,14,51,66,14,4
