qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
4,,Kasim Reed,71.80650616,25,46,34,14,24,12,14,11,4,13,11,14,56,2,0,16,34,21,39,7,24,2,63,3
4,,,0.089534297,0.082781457,0.113580247,0.175257732,0.102189781,0.063829787,0.210526316,0.186666667,0.112244898,0.043478261,0.112068966,0.070512821,0.03626943,0.195121951,0.060606061,0,0.084210526,0.158878505,0.102439024,0.09798995,0.05,0.177777778,0.022988506,0.120229008,0.046153846
4,,Sharon Gay,52.86338887,23,30,21,14,18,4,7,21,0,11,9,44,9,0,0,10,14,28,24,12,18,19,31,3
4,,,0.06591445,0.07615894,0.074074074,0.108247423,0.102189781,0.04787234,0.070175439,0.093333333,0.214285714,0,0.094827586,0.057692308,0.113989637,0.031358885,0,0,0.052631579,0.065420561,0.136585366,0.060301508,0.085714286,0.133333333,0.218390805,0.059160305,0.046153846
4,,Antonio Brown,28.82186629,12,17,8,6,14,4,6,6,8,3,0,13,14,1,7,11,6,1,21,5,1,0,22,7
4,,,0.035937489,0.039735099,0.041975309,0.041237113,0.04379562,0.037234043,0.070175439,0.08,0.06122449,0.086956522,0.025862069,0,0.033678756,0.048780488,0.03030303,0.127272727,0.057894737,0.028037383,0.004878049,0.052763819,0.035714286,0.007407407,0,0.041984733,0.107692308
4,,Another candidate,17.53533699,4,13,3,9,6,1,0,4,1,2,5,12,3,3,0,2,6,6,7,5,1,2,7,5
4,,,0.02186451,0.013245033,0.032098765,0.015463918,0.065693431,0.015957447,0.01754386,0,0.040816327,0.010869565,0.017241379,0.032051282,0.031088083,0.010452962,0.090909091,0,0.010526316,0.028037383,0.029268293,0.01758794,0.035714286,0.007407407,0.022988506,0.013358779,0.076923077
4,,Don't know,99.31706959,47,53,58,15,26,14,10,4,11,3,10,30,62,7,2,9,21,47,41,13,29,7,51,28
4,,,0.123836745,0.155629139,0.130864198,0.298969072,0.109489051,0.069148936,0.245614035,0.133333333,0.040816327,0.119565217,0.025862069,0.064102564,0.077720207,0.216027875,0.212121212,0.036363636,0.047368421,0.098130841,0.229268293,0.103015075,0.092857143,0.214814815,0.08045977,0.097328244,0.430769231
5,Do you have a favorable or unfavorable impression of Felicia Moore?,Favorable,462.6570814,214,248,86,90,286,21,41,49,70,85,128,315,127,20,39,145,155,111,292,95,59,55,361,35
