qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College Graduate,Graduate Study,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Republican,Independent,Democrat
10,,,0.030,0.030,0.031,0.039,0.025,0.019,0.026,0.068,0.020,0.023,0.011,0.005,0.028,0.032,0.024,0.045,0.013,0.008,0.025,0.073,0.029,0.010,0.029
11,How confident are you that the police in this country treat white and black people equally? ,Very confident,260,126,134,138,54,37,30,9,21,76,46,48,29,232,16,12,9,62,113,71,221,11,21
11,,,0.226,0.249,0.208,0.320,0.171,0.179,0.155,0.101,0.137,0.349,0.251,0.257,0.167,0.311,0.047,0.182,0.058,0.236,0.261,0.258,0.432,0.107,0.041
11,,Somewhat confident,333,141,192,126,104,61,41,38,47,60,46,52,44,269,52,12,47,55,123,103,218,29,79
11,,,0.290,0.278,0.299,0.292,0.330,0.295,0.212,0.427,0.307,0.275,0.251,0.278,0.253,0.361,0.153,0.182,0.303,0.209,0.284,0.375,0.426,0.282,0.154
11,,Not so confident,194,86,108,61,56,36,42,11,21,33,34,28,42,128,49,17,45,48,57,40,38,14,140
11,,,0.169,0.170,0.168,0.142,0.178,0.174,0.218,0.124,0.137,0.151,0.186,0.150,0.241,0.172,0.145,0.258,0.290,0.183,0.132,0.145,0.074,0.136,0.273
11,,Not at all confident,338,147,191,97,94,69,77,31,60,47,51,56,57,95,221,23,54,95,128,53,23,42,268
11,,,0.294,0.290,0.297,0.225,0.298,0.333,0.399,0.348,0.392,0.216,0.279,0.299,0.328,0.128,0.652,0.348,0.348,0.361,0.296,0.193,0.045,0.408,0.522
11,,Don't know,24,7,18,9,7,4,3,0,4,2,6,3,2,21,1,2,0,3,12,8,12,7,5
11,,,0.021,0.014,0.028,0.021,0.022,0.019,0.016,0.000,0.026,0.009,0.033,0.016,0.011,0.028,0.003,0.030,0.000,0.011,0.028,0.029,0.023,0.068,0.010
12,Do you approve or disapprove of the way Donald Trump is handling the coronavirus outbreak?,Strongly approve,427,202,225,204,112,64,47,21,48,95,90,66,54,395,16,16,43,75,171,130,392,18,10
12,,,0.371,0.398,0.350,0.473,0.356,0.308,0.244,0.236,0.314,0.440,0.492,0.353,0.309,0.529,0.047,0.242,0.279,0.285,0.396,0.474,0.767,0.175,0.019
12,,Somewhat approve,129,81,48,38,45,31,15,4,11,23,21,29,19,101,17,11,24,44,41,18,87,29,4
12,,,0.112,0.160,0.075,0.088,0.143,0.149,0.078,0.045,0.072,0.106,0.115,0.155,0.109,0.135,0.050,0.167,0.156,0.167,0.095,0.066,0.170,0.282,0.008
12,,Somewhat disapprove,59,21,38,20,18,13,8,3,17,7,6,14,6,27,25,7,14,16,20,10,11,9,38
12,,,0.051,0.041,0.059,0.046,0.057,0.063,0.041,0.034,0.111,0.032,0.033,0.075,0.034,0.036,0.074,0.106,0.091,0.061,0.046,0.036,0.022,0.087,0.074
12,,Strongly disapprove,507,186,321,151,137,98,120,51,76,90,64,77,94,211,268,28,64,126,193,109,11,39,452
12,,,0.441,0.367,0.499,0.350,0.435,0.471,0.622,0.573,0.497,0.417,0.350,0.412,0.537,0.283,0.793,0.424,0.416,0.479,0.447,0.398,0.022,0.379,0.881
12,,Don't know,28,17,11,18,3,2,3,10,1,1,2,1,2,12,12,4,9,2,7,7,10,8,9
12,,,0.024,0.034,0.017,0.042,0.010,0.010,0.016,0.112,0.007,0.005,0.011,0.005,0.011,0.016,0.036,0.061,0.058,0.008,0.016,0.026,0.020,0.078,0.018
13,Do you approve or disapprove of Governor Brian Kemp's handling of the coronavirus in Georgia?,Strongly approve,384,207,178,184,94,64,41,12,41,82,80,70,57,342,27,14,40,89,151,98,338,23,14
13,,,0.334,0.407,0.276,0.426,0.298,0.306,0.212,0.136,0.268,0.376,0.437,0.376,0.326,0.459,0.080,0.212,0.256,0.338,0.349,0.356,0.660,0.223,0.027
13,,Somewhat approve,188,79,109,71,64,28,26,23,21,35,26,30,22,144,37,6,18,36,73,59,120,21,42
13,,,0.163,0.156,0.169,0.164,0.203,0.134,0.135,0.261,0.137,0.161,0.142,0.161,0.126,0.193,0.109,0.091,0.115,0.137,0.169,0.215,0.234,0.204,0.082
13,,Somewhat disapprove,111,44,67,22,41,27,21,8,11,12,19,22,20,56,45,10,11,28,42,26,21,11,75
13,,,0.096,0.087,0.104,0.051,0.130,0.129,0.109,0.091,0.072,0.055,0.104,0.118,0.114,0.075,0.133,0.152,0.071,0.106,0.097,0.095,0.041,0.107,0.146
13,,Strongly disapprove,428,152,276,132,110,84,102,44,77,86,53,61,73,181,214,34,68,109,158,83,20,32,374
13,,,0.372,0.299,0.429,0.306,0.349,0.402,0.528,0.500,0.503,0.394,0.290,0.328,0.417,0.243,0.631,0.515,0.436,0.414,0.365,0.302,0.039,0.311,0.728
13,,Don't know,39,26,14,23,6,6,3,1,3,3,5,3,3,22,16,2,19,1,9,9,13,16,9
13,,,0.034,0.051,0.022,0.053,0.019,0.029,0.016,0.011,0.020,0.014,0.027,0.016,0.017,0.030,0.047,0.030,0.122,0.004,0.021,0.033,0.025,0.155,0.018
14,How worried are you that you or someone in your family will be exposed to the coronavirus (COVID-19)? ,Very worried,323,103,221,109,79,65,70,35,55,46,40,44,47,154,153,16,32,64,149,74,52,36,228
14,,,0.281,0.202,0.344,0.253,0.251,0.313,0.365,0.393,0.362,0.211,0.219,0.234,0.269,0.207,0.451,0.242,0.205,0.243,0.345,0.270,0.102,0.353,0.445
14,,Somewhat worried,419,201,218,161,122,69,66,30,53,86,63,78,63,264,120,35,70,116,120,102,165,36,208
14,,,0.364,0.395,0.339,0.374,0.387,0.332,0.344,0.337,0.349,0.394,0.344,0.415,0.360,0.354,0.354,0.530,0.449,0.441,0.278,0.372,0.323,0.353,0.406
14,,Not too worried,199,83,117,73,55,39,31,13,22,44,38,32,28,166,30,3,19,32,90,54,144,12,40
14,,,0.173,0.163,0.182,0.169,0.175,0.188,0.161,0.146,0.145,0.202,0.208,0.170,0.160,0.223,0.088,0.045,0.122,0.122,0.208,0.197,0.282,0.118,0.078
14,,Not worried at all,189,110,79,78,54,34,22,10,21,42,41,31,30,146,32,10,28,49,69,39,138,16,31
14,,,0.164,0.216,0.123,0.181,0.171,0.163,0.115,0.112,0.138,0.193,0.224,0.165,0.171,0.196,0.094,0.152,0.179,0.186,0.160,0.142,0.270,0.157,0.061
14,,Don't know,20,12,8,10,5,1,3,1,1,0,1,3,7,15,4,2,7,2,4,5,12,2,5
14,,,0.017,0.024,0.012,0.023,0.016,0.005,0.016,0.011,0.007,0.000,0.005,0.016,0.040,0.020,0.012,0.030,0.045,0.008,0.009,0.018,0.023,0.020,0.010
