qnum,Question,Response,Total,Male,Female,Democrat,Republican,Independent,White,Black,North Ga.,Atl. exurbs,Atl. metro,Southeast Ga.,Southwest Ga.
7,"If the election for governor were being held today and the candidates were Nathan Deal, the  Republican, Jason Carter, the Democrat and Andrew Hunt the Libertarian for whom would you vote?  (Includes undecided voters who are leaning toward a candidate)", Deal,407,237,169,11,259,102,366,18,90,127,66,67,56
7,,,0.46,0.53,0.38,0.04,0.87,0.5,0.66,0.07,0.63,0.5,0.28,0.48,0.47
7,, Carter,363,150,214,266,14,63,125,211,41,87,143,46,47
7,,,0.41,0.33,0.48,0.9,0.05,0.31,0.22,0.8,0.28,0.34,0.62,0.33,0.39
7,, Hunt,49,28,22,5,14,21,40,6,7,24,4,8,6
7,,,0.06,0.06,0.05,0.02,0.05,0.11,0.07,0.02,0.05,0.1,0.02,0.06,0.05
7,, Other candidate,2,*,1,1,*,-,*,1,-,-,-,1,*
7,,,* ,* ,* ,* ,* ,- ,* ,* ,- ,- ,- ,0.01,* 
7,, Neither,9,4,5,3,2,3,5,4,*,1,6,1,*
7,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,* ,* ,0.03,0.01,* 
7,, Would not vote,3,3,*,2,1,-,1,2,1,-,*,2,-
7,,,* ,0.01,* ,0.01,* ,- ,* ,0.01,0.01,- ,* ,0.02,- 
7,, Don't know/no answer,56,25,31,7,5,13,19,21,5,16,12,14,10
7,,,0.06,0.06,0.07,0.02,0.02,0.06,0.03,0.08,0.04,0.06,0.05,0.1,0.09
8,"If the election for governor were being held today and the candidates were Nathan Deal, the  Republican, Jason Carter, the Democrat and Andrew Hunt the Libertarian for whom would you vote?", Nathan Deal,394,229,166,9,254,98,355,16,87,125,66,66,51
8,,,0.44,0.51,0.37,0.03,0.85,0.49,0.64,0.06,0.6,0.49,0.28,0.47,0.42
8,, Jason Carter,341,142,199,248,13,62,118,196,41,86,132,41,41
8,,,0.38,0.32,0.45,0.84,0.04,0.31,0.21,0.74,0.28,0.34,0.57,0.29,0.34
8,, Andrew Hunt,49,28,21,5,14,21,39,6,7,24,4,8,5
8,,,0.06,0.06,0.05,0.02,0.05,0.1,0.07,0.02,0.05,0.1,0.02,0.06,0.05
8,, Other candidate,2,*,2,1,*,1,1,1,-,-,-,1,1
8,,,* ,* ,* ,* ,* ,* ,* ,* ,- ,- ,- ,0.01,0.01
8,, Neither,10,1,9,6,1,2,4,6,-,2,7,*,1
8,,,0.01,* ,0.02,0.02,* ,0.01,0.01,0.02,- ,0.01,0.03,* ,0.01
8,, Would not vote,1,1,*,-,1,-,1,-,1,-,*,-,-
8,,,* ,* ,* ,- ,* ,- ,* ,- ,0.01,- ,* ,- ,- 
8,, Don't know/no answer,93,46,47,27,13,17,38,39,9,18,23,23,21
8,,,0.1,0.1,0.11,0.09,0.05,0.09,0.07,0.15,0.06,0.07,0.1,0.17,0.17
9,How enthusiastic are you about supporting a candidate for governor?,   Very enthusiastic,375,171,205,161,123,67,225,128,71,89,117,47,52
9,,,0.43,0.39,0.47,0.54,0.4,0.33,0.39,0.52,0.48,0.35,0.51,0.37,0.44
9,,   Somewhat Enthusiastic,411,222,189,109,166,102,290,93,66,142,89,60,54
9,,,0.47,0.51,0.44,0.37,0.54,0.51,0.51,0.38,0.44,0.57,0.39,0.48,0.46
9,,   Not So Enthusiastic,58,31,27,18,11,24,38,18,6,17,16,12,7
9,,,0.07,0.07,0.06,0.06,0.04,0.12,0.07,0.07,0.04,0.07,0.07,0.1,0.06
9,,   Not enthusiastic at all,24,12,12,9,4,7,16,8,4,4,8,5,4
9,,,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.03,0.02,0.01,0.03,0.04,0.03
9,, Don't know/no answer,4,4,*,*,2,1,2,*,2,-,-,1,1
9,,,* ,0.01,* ,* ,0.01,0.01,* ,* ,0.01,- ,- ,0.01,0.01
10,"If you support Nathan Deal, how enthusiastic are you about the candidate?",   Very enthusiastic,170,88,82,3,116,38,156,6,44,42,35,25,24
10,,,0.39,0.35,0.45,0.28,0.42,0.33,0.39,0.33,0.44,0.31,0.48,0.36,0.4
10,,   Somewhat enthusiastic,224,135,89,3,146,55,204,6,45,80,30,39,29
