qnum,Question,Responses,Total,White,Black,Other,Male,Female,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study,18-30,31-45,46-64,65+,Democrat,Independent,Republican
13,Do you have a favorable or an unfavorable opinion of Amazon?,Approve,363.05,125.00,220.00,17.00,139.00,224.00,19.00,40.00,71.00,71.00,67.00,53.00,34.00,65.00,16.00,144.00,103.00,26.00,65.00,151.00,109.00,303.00,25.00,21.00
13,,,0.77,0.81,0.75,0.68,0.76,0.78,0.54,0.70,0.76,0.86,0.83,0.87,0.56,0.79,0.70,0.82,0.81,0.84,0.81,0.84,0.66,0.79,0.64,0.75
13,,Disapprove,39.76,12.00,26.00,1.00,16.00,24.00,9.00,5.00,8.00,4.00,7.00,4.00,11.00,9.00,1.00,9.00,8.00,3.00,6.00,17.00,14.00,35.00,4.00,1.00
13,,,0.08,0.08,0.09,0.04,0.09,0.08,0.26,0.09,0.09,0.05,0.09,0.07,0.18,0.11,0.04,0.05,0.06,0.10,0.08,0.09,0.09,0.09,0.10,0.04
13,,Don't know,70.19,17.00,46.00,7.00,29.00,41.00,7.00,12.00,14.00,8.00,7.00,4.00,16.00,8.00,6.00,22.00,16.00,2.00,9.00,12.00,41.00,47.00,10.00,6.00
13,,,0.15,0.11,0.16,0.28,0.16,0.14,0.20,0.21,0.15,0.10,0.09,0.07,0.26,0.10,0.26,0.13,0.13,0.06,0.11,0.07,0.25,0.12,0.26,0.21
14,"Has your take home pay increased, decreased or stayed the same since the federal tax law went into effect at the beginning of the year?",Increased,100.42,36.00,58.00,7.00,40.00,60.00,7.00,5.00,23.00,20.00,23.00,17.00,9.00,21.00,8.00,35.00,26.00,6.00,21.00,46.00,24.00,74.00,9.00,9.00
14,,,0.21,0.23,0.20,0.27,0.22,0.21,0.20,0.09,0.25,0.24,0.28,0.28,0.15,0.26,0.33,0.20,0.21,0.20,0.27,0.26,0.15,0.19,0.23,0.33
14,,Decreased,40.01,13.00,22.00,5.00,15.00,25.00,3.00,8.00,5.00,4.00,7.00,7.00,7.00,4.00,2.00,18.00,9.00,1.00,13.00,17.00,9.00,30.00,7.00,2.00
14,,,0.08,0.08,0.08,0.19,0.08,0.09,0.09,0.14,0.05,0.05,0.09,0.11,0.11,0.05,0.08,0.10,0.07,0.03,0.17,0.09,0.05,0.08,0.18,0.07
14,,Stayed the Same,264.90,80.00,174.00,10.00,107.00,158.00,19.00,34.00,50.00,51.00,43.00,31.00,33.00,53.00,10.00,99.00,68.00,20.00,42.00,100.00,89.00,223.00,20.00,12.00
14,,,0.06,0.52,0.60,0.38,0.58,0.55,0.54,0.60,0.54,0.61,0.52,0.51,0.53,0.65,0.42,0.57,0.54,0.67,0.54,0.56,0.54,0.58,0.50,0.44
14,,Don't know,67.67,26.00,37.00,4.00,21.00,46.00,6.00,10.00,15.00,8.00,9.00,6.00,13.00,4.00,4.00,23.00,23.00,3.00,2.00,17.00,43.00,58.00,4.00,4.00
14,,,0.14,0.17,0.13,0.15,0.11,0.16,0.17,0.18,0.16,0.10,0.11,0.10,0.21,0.05,0.17,0.13,0.18,0.10,0.03,0.09,0.26,0.15,0.10,0.15
15,"Should laws covering the sale of firearms be made more strict, less strict or kept the same?",More Strict,426.95,137.00,268.00,22.00,156.00,271.00,33.00,49.00,84.00,74.00,76.00,56.00,52.00,72.00,23.00,160.00,118.00,25.00,71.00,166.00,149.00,359.00,33.00,15.00
15,,,0.90,0.88,0.92,0.88,0.85,0.93,0.94,0.86,0.89,0.90,0.93,0.92,0.84,0.88,1.00,0.91,0.93,0.83,0.91,0.92,0.91,0.93,0.85,0.56
