qnum,Question,Responses,Total,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",Male,Female,Democrat,Independent,Republican,White,Non-white,18-30,31-45,46-64,65+,High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study
7,,,0.22,0.17,0.15,0.24,0.15,0.24,0.25,0.25,0.19,0.55,0.55,0.18,0.21,0.27,0.28,0.19,0.24,0.20,0.14,0.21,0.21,0.20,0.33
7,,Don't know,82.66,6.00,8.00,13.00,15.00,13.00,8.00,25.00,57.00,4.00,6.00,69.00,76.00,7.00,0.00,12.00,30.00,40.00,16.00,18.00,9.00,29.00,11.00
7,,,0.16,0.25,0.15,0.16,0.18,0.12,0.10,0.10,0.22,0.20,0.18,0.16,0.16,0.21,0.00,0.16,0.16,0.19,0.22,0.16,0.26,0.15,0.12
8,Do you have a favorable or an unfavorable opinion of the Georgia Legislature?,Approve,295.70,14.00,26.00,42.00,60.00,69.00,45.00,139.00,157.00,8.00,15.00,267.00,279.00,17.00,21.00,44.00,118.00,106.00,39.00,73.00,16.00,113.00,55.00
8,,,0.58,0.58,0.51,0.53,0.71,0.64,0.54,0.55,0.61,0.40,0.45,0.61,0.59,0.52,0.72,0.58,0.64,0.51,0.53,0.64,0.47,0.60,0.59
8,,Disapprove,104.85,3.00,7.00,19.00,10.00,27.00,24.00,64.00,41.00,8.00,14.00,78.00,98.00,7.00,6.00,17.00,40.00,39.00,17.00,18.00,7.00,42.00,20.00
8,,,0.21,0.13,0.14,0.24,0.12,0.25,0.29,0.25,0.16,0.40,0.42,0.18,0.21,0.21,0.21,0.22,0.22,0.19,0.23,0.16,0.21,0.22,0.21
8,,Don't know,106.46,7.00,18.00,18.00,15.00,12.00,14.00,49.00,58.00,4.00,4.00,94.00,97.00,9.00,2.00,15.00,25.00,63.00,18.00,23.00,11.00,33.00,19.00
8,,,0.21,0.29,0.35,0.23,0.18,0.11,0.17,0.19,0.23,0.20,0.12,0.21,0.20,0.27,0.07,0.20,0.14,0.30,0.24,0.20,0.32,0.18,0.20
9,Do you have a favorable or an unfavorable opinion of the NRA?,Approve,367.86,16.00,43.00,52.00,65.00,84.00,53.00,197.00,171.00,4.00,6.00,350.00,345.00,23.00,11.00,59.00,141.00,147.00,60.00,90.00,27.00,123.00,66.00
